Book_Title,Book_Author,Year_Of_Publication,Publisher,Book_Rating,label
Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press,0,2
Angelas Ashes,Frank Mccourt,0,Harpercollins Uk,0,2
Bookends : A Novel,Jane Green,2003,Broadway,0,2
Rose Madder,Stephen King,1995,Viking Books,5,3
Track of the Cat (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1994,Avon Books,7,2
Hunting Season (Anna Pigeon Novels (Paperback)),Nevada Barr,2003,Berkley Publishing Group,5,1
Deception on His Mind,ELIZABETH GEORGE,1998,Bantam,9,2
"Redwall (Redwall, Book 1)",Brian Jacques,1998,Ace Books,0,2
Firestorm (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon,5,2
Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,0,2
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),7,2
Plantation: A Lowcountry Tale,Dorothea Benton Frank,2001,Jove Books,0,2
Wifey,Judy Blume,1989,Pocket,6,0
How To Win Friends And Influence People,Dale Carnegie,1990,Pocket,0,0
"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,TSR,9,2
Sleepers,Lorenzo Carcaterra,1996,Ballantine Books,0,4
Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling,0,2
The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,0,1
Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket,0,0
FLOOD TIDE,Clive Cussler,1998,Pocket Books,0,0
Serpent : A Novel from the NUMA Files (Numa Files Series),Clive Cussler,2000,Pocket,0,2
The Adventures of Huckleberry Finn (Bantam Classics),MARK TWAIN,1981,Bantam,8,2
"The Shelters of Stone (Earth's Children, Book 5)",JEAN M. AUEL,2003,Bantam,0,2
Gone For Good,HARLAN COBEN,2002,Delacorte Press,0,2
Red Storm Rising,Tom Clancy,1997,Berkley Publishing Group,0,1
Sudden Prey,John Sandford,1997,Berkley Publishing Group,0,1
Black Hawk Down (Movie Tie-in),Mark Bowden,2002,Signet,0,2
"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997,Signet Book,0,3
Deception Point,Dan Brown,2002,Pocket,0,0
On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper),0,2
The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf,0,2
"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,2002,Pocket,0,0
Atlantis Found,Clive Cussler,2001,Berkley Publishing Group,0,1
The Bourne Ultimatum,Robert Ludlum,1991,Bantam Books,0,2
Contact,Carl Sagan,1997,Pocket,0,0
A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch,0,2
Basket Case,Carl Hiaasen,2003,Warner Books,0,2
Snow Crash,Neal Stephenson,1993,Bantam,0,2
"Heir to the Empire (Star Wars: The Thrawn Trilogy, Vol. 1)",Timothy Zahn,1998,Bantam,8,2
Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Del Rey Books,0,2
The Final Judgment,Richard North Patterson,1997,Ballantine Books,0,4
Gift from the Sea,Anne Morrow Lindbergh,1991,Pantheon Books,8,2
Critical Judgment,Michael Palmer,1998,Bantam Books,0,2
Strip Tease,Carl Hiaasen,1994,Warner Books,8,2
The Face of Deception,Iris Johansen,1999,Bantam Books,0,2
Inca Gold (Clive Cussler),Clive Cussler,1995,Pocket,10,0
Outbreak,Robin Cook,1991,Berkley Publishing Group,0,1
Where is Joe Merchant?,Jimmy Buffett,1993,Avon,9,2
"The Waste Lands (The Dark Tower, Book 3)",Stephen King,1997,Signet Book,0,3
The Soul Catcher: A Maggie O'Dell Novel,Alex Kava,2003,Mira,0,2
The Corrections: A Novel,Jonathan Franzen,2002,Picador USA,9,2
American Gods,Neil Gaiman,2002,HarperTorch,9,2
Notes From a Small Planet,Bill Bryson,0,Bantam Doubleday Dell,0,2
Shopgirl,Steve Martin,2001,Hyperion,9,2
Speaking in Tongues,Jeffery Deaver,2002,Pocket,0,0
Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,0,4
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,0,2
The Vagina Monologues: The V-Day Edition,Eve Ensler,2000,Villard Books,5,2
Bag of Bones,Stephen King,1999,Pocket,0,3
Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,0,2
Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,10,2
Certain Prey,John Sandford,2000,Berkley Publishing Group,8,1
Unfit to Practice,Perri O'Shaughnessy,2003,Dell Publishing Company,0,2
Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books,0,2
Gravity : A Novel of Medical Suspense,Tess Gerritsen,2000,Pocket,6,0
A Year in Provence,Peter Mayle,1991,Vintage Books USA,0,2
All I Need to Know I Learned from My Cat,Suzy Becker,1990,Workman Publishing,9,2
A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,1998,Bantam,0,2
Night Prey,John Sandford,2004,Berkley Publishing Group,0,1
Chromosome 6,Robin Cook,2000,Berkley Publishing Group,0,1
Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,1995,Ballantine Books,0,4
Darkness,John Saul,1992,Bantam Books,0,2
Full Blast (Janet Evanovich's Full Series),Janet Evanovich,2004,St. Martin's Paperbacks,0,2
The Cat Who Went Up the Creek,Lilian Jackson Braun,2003,Jove Books,0,2
Different Seasons,Stephen King,1983,Penguin Putnam~mass,0,3
September,Rosamunde Pilcher,1991,St. Martin's Press,0,2
Chasing the Dime,Michael Connelly,2003,Warner Books,0,2
Cause Celeb,Helen Fielding,2001,Viking Books,0,2
Bloodstream,Tess Gerritsen,1999,Pocket,0,0
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,0,4
Silent Prey,John Sandford,2000,Berkley Publishing Group,0,1
Executive Orders (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,0,1
The Kiss,Danielle Steel,2002,Dell Publishing Company,0,6
"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,1992,Warner Books,0,2
A Case of Need,Michael Crichton,1994,Signet Book,0,3
Insomnia,Stephen King,1995,Signet Book,0,3
The Cat Who Turned on and Off (Cat Who... (Paperback)),Lilian Jackson Braun,1995,Jove Books,10,2
GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones,1987,Pocket,0,2
Hidden Jewel (Landry),V.C. Andrews,1995,Pocket,0,0
Roses Are Red,James Patterson,2000,Little Brown and Company,0,2
"The Mammoth Hunters (Auel, Jean M. , Earth's Children.)",Jean M. Auel,1986,Bantam Books,0,2
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,0,2
The Alibi,Sandra Brown,2000,Warner Books,0,2
"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,0,0
Good Omens,Neil Gaiman,1996,Ace Books,0,2
An Accidental Woman,Barbara Delinsky,2003,Pocket Books,0,0
The Hours : A Novel,Michael Cunningham,1998,"Farrar, Straus and Giroux",0,2
Dragonfly in Amber,DIANA GABALDON,1993,Dell,0,2
Darwin's Radio,Greg Bear,2000,Ballantine Books,0,4
The Princess Diaries,Meg Cabot,2001,HarperTrophy,9,2
Bad Heir Day,Wendy Holden,2001,Plume Books,0,2
Once a Thief,Kay Hooper,2002,Bantam Books,0,2
Babyville,JANE GREEN,2003,Broadway,0,2
Grave Secrets,Kathy Reichs,2003,Pocket Star,0,0
The Cat Who Knew Shakespeare,Lilian Jackson Braun,1988,Jove Books,0,2
Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books,0,2
Portrait in Sepia : A Novel,Isabel Allende,2002,Perennial,0,2
Standing in the Rainbow,FANNIE FLAGG,2003,Ballantine Books,0,4
Phantoms,Dean R. Koontz,1996,Berkley Publishing Group,0,1
2010: Odyssey Two,Arthur C. Clarke,1984,Del Rey Books,0,2
Family: The Ties That Bind and Gag,Erma Bombeck,1991,Fawcett Books,0,2
Secrets of the Morning (Cutler),V.C. Andrews,1991,Pocket,0,0
Darkest Hour (Cutler),V.C. Andrews,1993,Pocket,0,0
The Cat Who Talked to Ghosts,Lilian Jackson Braun,1996,Jove Books,9,2
The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991,Bantam,0,2
Wild Justice,Phillip Margolin,2001,HarperTorch,0,2
Last Chance Saloon,Marian Keyes,2002,Avon,0,2
Eyes of a Child,Richard North Patterson,1996,Ballantine Books,0,4
Paradise Lost,J.A. Jance,2002,Avon,0,2
The Bookman's Wake (Cliff Janeway Novels (Paperback)),John Dunning,1996,Pocket Star,0,0
The Mulberry Tree,Jude Deveraux,2003,Pocket,0,0
The Tenth Justice,Brad Meltzer,1998,Warner Books,0,2
The Homing,John Saul,1995,Fawcett Books,0,2
The Footprints of God : A Novel,Greg Iles,2004,Pocket Star,0,0
The Crimson Petal and the White,Michel Faber,2003,Harvest Books,0,2
Asking for Trouble: A Novel,Elizabeth Young,2001,Avon Trade,0,2
Jupiter's Bones : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,2000,Avon,0,2
The Ladies Auxiliary (Ballantine Reader's Circle),Tova Mirvis,2000,Ballantine Books,0,4
Killer Pancake,Diane Mott Davidson,1996,Crimeline,0,2
Killjoy,Julie Garwood,2003,Ballantine Books,0,4
The Blessing,Jude Deveraux,1999,Pocket Star,0,0
Fortune's Rocks : A Novel,Anita Shreve,2001,Back Bay Books,0,2
Acts of Malice,Perri O'Shaughnessy,2000,Island,0,2
Eyes of Prey,John Sandford,2004,Berkley Publishing Group,0,1
"Nora, Nora: A Novel",Anne Rivers Siddons,2001,HarperTorch,0,5
Firestarter,Stephen King,2003,Signet Book,9,3
The Cat Who Smelled a Rat (Cat Who... (Paperback)),Lilian Jackson Braun,2002,Jove Books,10,2
Bad Boy,Olivia Goldsmith,2002,Signet Book,0,3
Narcissus in Chains (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2002,Jove Books,0,2
Music in the Night (Logan),V.C. Andrews,1998,Pocket,0,0
Stone Kiss,Faye Kellerman,2003,Warner Books,0,2
Atonement: A Novel,Ian McEwan,2002,Nan A. Talese,0,2
Shock,Robin Cook,2002,Berkley Publishing Group,0,1
The Deep End of the Ocean,Jacquelyn Mitchard,1999,Signet Book,0,3
Harvest,Tess Gerritsen,1997,Pocket,0,0
Sweet Liar,Jude Deveraux,1993,Pocket,0,0
Between Friends,Debbie Macomber,2003,Mira Books,0,2
Mr. Maybe,Jane Green,2002,Broadway Books,0,2
Sisters Found,Joan Johnston,2002,Mira,0,2
The Mask,Dean R. Koontz,1989,Berkley Publishing Group,0,1
Not Without My Daughter,Betty Mahmoody,1993,St. Martin's Press,0,2
High Tide,Jude Deveraux,2000,Pocket,0,0
Still Waters,TAMI HOAG,1992,Bantam,0,2
Eaters of the Dead,MICHAEL CRICHTON,1988,Ballantine Books,0,4
Temptation,Jude Deveraux,2001,Pocket Books,0,0
Sword of Shannara,Terry Brooks,1995,Del Rey Books,0,2
Brazen Virtue,Nora Roberts,1996,Bantam Books,7,5
Legend,Jude Deveraux,1997,Pocket,0,0
Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch,0,2
Ender's Shadow,Orson Scott Card,2000,Tor Books,0,2
Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books,0,2
"Wizard's First Rule (Sword of Truth, Book 1)",Terry Goodkind,1997,Tor Fantasy,10,2
Dead Until Dark (Southern Vampire Mysteries),Charlaine Harris,2001,Ace Books,0,2
One Hundred Years of Solitude (Oprah's Book Club),Gabriel Garcia Marquez,2004,Perennial,0,2
Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,2004,St. Martin's Paperbacks,0,2
"Pride and Prejudice (The Penguin English Library, El 72)",Jane Austen,1985,Penguin Books,0,2
Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books,0,2
Desperation,Stephen King,1996,Viking Books,0,3
The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1994,Ace Books,8,2
Dragonsdawn,Anne McCaffrey,1989,Del Rey Books,0,2
The Lost World: A Novel,Michael Crichton,1995,Alfred A. Knopf,0,2
Needful Things: The Last Castle Rock Story,Stephen King,1991,Viking Books,0,3
The Cat Who Robbed a Bank (Cat Who... (Paperback)),Lilian Jackson Braun,2001,Jove Books,0,2
Chocolat,Joanne Harris,2000,Penguin Books,0,2
MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996,Simon &amp; Schuster,0,0
The Talented Mr. Ripley (Vintage Crime/Black Lizard),Patricia Highsmith,1992,Vintage Books USA,0,2
The Eyre Affair: A Novel,Jasper Fforde,2003,Penguin Books,10,2
The Stand (The Complete and Uncut Edition),Stephen King,1990,Doubleday Books,0,3
Serpent's Tooth : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1998,Avon,0,2
A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf,10,2
The Worst-Case Scenario Survival Handbook,Joshua Piven,1999,Chronicle Books,9,2
N Is for Noose (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1998,Henry Holt &amp; Company,8,2
Death in Holy Orders : An Adam Dalgliesh Mystery,P.D. JAMES,2002,Fawcett,0,2
Perfect Evil (Maggie O'Dell Novels (Paperback)),Alex Kava,2001,Mira,0,2
The Horse You Came In On,Martha Grimes,1996,Ballantine Books,0,4
Death of A Salesman,Arthur Miller,1998,Penguin USA (Paper),3,2
Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,8,2
A Cup of Tea (Ballantine Reader's Circle),Amy Ephron,1998,Ballantine Books,0,4
Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,0,2
A Swiftly Tilting Planet,Madeleine L'Engle,1979,Laure Leaf,10,2
Shopaholic Ties the Knot,Sophie Kinsella,2003,Delta,10,2
The Pilot's Wife,Anita Shreve,2001,"Little, Brown",10,2
Space,James A. Michener,1988,Fawcett Books,0,2
Outer Banks,Anne Rivers Siddons,1992,HarperTorch,0,2
Shadowfires,Dean R. Koontz,1994,Berkley Publishing Group,0,1
Waiting to Exhale,Terry McMillan,1995,Pocket,0,0
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Random House Trade Paperbacks,0,2
While I Was Gone,Sue Miller,1999,Ballantine Books,5,4
The River King,Alice Hoffman,2000,Putnam Publishing Group,0,1
The Outsiders,S. E. Hinton,1993,Learning Curve,0,2
The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,0,4
Airframe,Michael Crichton,1997,Ballantine Books,0,4
Debt of Honor (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,0,1
Ssn,Tom Clancy,2000,Berkley Publishing Group,0,1
Easy Prey,John Sandford,2001,Berkley Publishing Group,0,1
The Attorney,Steve Martini,2001,Jove Books,0,2
One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,10,2
Daughter of Fortune,Isabel Allende,2000,Perennial,0,2
Net Force,Tom Clancy,1999,Berkley Publishing Group,0,1
Reversible Errors: A Novel,Scott Turow,2002,Farrar Straus Giroux,0,2
Speaking With the Angel,Nick Hornby,2001,Riverhead Books,0,2
The Lilac Bus: Stories,Maeve Binchy,1992,Dell,0,2
Apollyon: The Destroyer Is Unleashed (Left Behind No. 5),Jerry Jenkins,2000,Tyndale House Publishers,0,2
About a Boy,Nick Hornby,1999,Riverhead Books,0,2
Plainsong,Kent Haruf,1999,Alfred A. Knopf,9,2
Pride and Prejudice,Jane Austen,1981,Bantam,0,2
Wuthering Heights (Wordsworth Classics),Emily Bronte,1997,NTC/Contemporary Publishing Company,0,2
Cold Paradise (Stone Barrington Novels (Paperback)),Stuart Woods,2002,Signet Book,0,3
Poland,James A. Michener,1990,Fawcett Books,0,2
The First Eagle (Jim Chee Novels),Tony Hillerman,1999,HarperTorch,0,2
The Lost Continent: Travels in Small-Town America,Bill Bryson,1990,Perennial,0,2
The Boy Next Door,Meggin Cabot,2002,Avon Trade,0,2
Balzac and the Little Chinese Seamstress,Dai Sijie,2001,Alfred A. Knopf,9,2
Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998,Health Communications,8,2
The Shipping News : A Novel,Annie Proulx,2001,Scribner,9,2
Lasher,Anne Rice,1993,Alfred A. Knopf,7,2
Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,8,4
Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books,0,2
The Mothman Prophecies,John A. Keel,2002,Tor Books,0,2
How to Make an American Quilt,Whitney Otto,1992,Ballantine Books,8,4
Standing in the Rainbow : A Novel,FANNIE FLAGG,2002,Random House,10,2
"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,10,2
The Westing Game (Now in Speak!),Ellen Raskin,1997,Penguin Putnam Books for Young Readers,0,2
The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004,Vintage,10,2
AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993,Scribner,5,2
Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner,8,3
"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,HarperTempest,8,2
Gap Creek: A Novel,Robert Morgan,2000,Algonquin Books of Chapel Hill,0,2
Thursday'S At Eight,Debbie Macomber,2002,Mira,7,2
Servant of the Bones,Anne Rice,1998,Ballantine Books,2,4
The Darwin Awards: Evolution in Action,Wendy Northcutt,2002,Plume Books,8,2
Nightmares &amp; Dreamscapes,Stephen King,2004,Signet Book,0,3
Second Nature,Alice Hoffman,1995,Berkley Publishing Group,0,1
"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,0,2
Alaska,James A. Michener,1994,Fawcett Books,0,2
Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T),0,2
If Only It Were True,Marc Levy,2000,Atria,0,2
Once upon a More Enlightened Time: More Politically Correct Bedtime Stories,James Finn Garner,1995,MacMillan Publishing Company.,0,2
The Stand: Complete and Uncut,Stephen King,1991,Signet Book,0,3
Island of the Blue Dolphins,SCOTT O'DELL,1971,Random House Children's Books,0,2
Low Country,Anne Rivers Siddons,1999,HarperTorch,0,2
Up Island: A Novel,Anne Rivers Siddons,1998,HarperTorch,0,2
Little House in the Big Woods,Laura Ingalls Wilder,1953,HarperTrophy,0,2
"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994,HarperCollins,0,2
Portrait in Sepia,Isabel Allende,2001,HarperCollins Publishers,0,2
Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,Penguin Books,0,2
Matilda,Roald Dahl,1990,Puffin Books,0,2
Elfstones of Shannara,Terry Brooks,1990,Del Rey Books,0,2
Friday,Robert Heinlein,1988,Del Rey Books,0,2
The Black Unicorn (Magic Kingdom of Landover Novel),Terry Brooks,1990,Del Rey Books,0,2
Primal Fear,William Diehl,1996,Ballantine Books,0,4
Watership Down,Richard Adams,1976,Avon,0,2
Things Fall Apart : A Novel,CHINUA ACHEBE,1994,Anchor,0,2
Hideaway,Dean R. Koontz,1992,Berkley Publishing Group,5,1
Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback)),Tom Clancy,1996,Berkley Publishing Group,0,1
Bio-Strike (Tom Clancy's Power Plays (Paperback)),Jerome Preisler,2000,Berkley Publishing Group,0,1
Tom Clancy's Op-Center: Line of Control (Tom Clancy's Op Center (Paperback)),Jeff Rovin,2001,Berkley Publishing Group,0,1
Tai-Pan,JAMES CLAVELL,1986,Dell,7,2
Breach of Promise,Perri O'Shaughnessy,1999,Island,0,2
Tourist Season,Carl Hiaasen,1987,Warner Books,0,2
Windmills of the Gods,Sidney Sheldon,1987,Warner Books,0,2
French Silk,Sandra Brown,1993,Warner Books,0,2
Total Control,David Baldacci,1997,Warner Books,0,2
Killing Time,Caleb Carr,2002,Warner Books,0,2
Blue Highways a Journey Into America,William Least Heat-Moon,1983,Ballantine Books,0,4
Catering to Nobody,Diane Mott Davidson,1995,Fawcett Books,0,2
Native Tongue,Carl Hiaasen,1992,Fawcett Books,0,2
Christine,Stephen King,1983,Penguin Putnam~mass,0,3
Mitigating Circumstances,Nancy Taylor Rosenberg,1993,Signet Book,0,3
My Point - And I Do Have One,Ellen Degeneres,1995,Bantam,0,2
The Bell Jar,Sylvia Plath,1983,Bantam,0,2
A Separate Peace,John Knowles,1985,Bantam Books,0,2
Time Bomb (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1991,Bantam Books,0,2
Playing for the Ashes,ELIZABETH GEORGE,1995,Bantam,0,2
"Monster Blood (Goosebumps, No 3)",R. L. Stine,1995,Scholastic,0,2
Melody (Logan),V.C. Andrews,1996,Pocket,0,0
Unfinished Symphony (Logan),V.C. Andrews,1997,Pocket,0,0
Dawn (Cutler),V.C. Andrews,1990,Pocket,0,0
What Dreams May Come : A Novel,Richard Matheson,1998,Tor Books,0,2
"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Tim Lahaye,2000,Tyndale House Publishers,0,2
This Present Darkness,Frank E. Peretti,1986,Crossway Books,0,2
A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books,0,4
"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage,7,2
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company,0,2
The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",10,2
"Welcome to the World, Baby Girl!",Fannie Flagg,1999,Ballantine Books,0,4
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,0,2
The Sisterhood of the Traveling Pants,Ann Brashares,2001,Delacorte Press,0,2
A Pirate Looks at Fifty,Jimmy Buffett,1999,Fawcett Books,0,2
The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,0,2
Stranger Is Watching,Mary Higgins Clark,1991,Pocket,0,0
Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1994,Vintage Books USA,8,2
The Charm School,Nelson DeMille,1989,Warner Books,0,2
A Confederacy of Dunces,John Kennedy Toole,1995,Outlet Books Company,0,2
Letters from a Nut,Ted L. Nancy,1999,William Morrow,10,2
The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV,9,2
Apocalipstick,SUE MARGOLIS,2003,Delta,0,2
The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,0,2
Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1993,Ivy Books,0,2
Ten Stupid Things Women Do to Mess Up Their Lives,Laura C. Schlessinger,1995,Perennial,0,2
Getting Over It,Anna Maxted,2001,Regan Books,10,2
"Princess in the Spotlight (The Princess Diaries, Vol. 2)",Meg Cabot,2002,HarperTrophy,10,2
The Persian Pickle Club,Sandra Dallas,1996,St. Martin's Griffin,0,2
The Lake of Dead Languages (Ballantine Reader's Circle),Carol Goodman,2003,Ballantine Books,0,4
Dog Handling,CLARE NAYLOR,2002,Ballantine Books,8,4
I Don't Know How She Does It,ALLISON PEARSON,2003,Knopf,0,2
Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,1998,Tyndale House Publishers,0,2
Little Altars Everywhere,Rebecca Wells,2003,HarperTorch,0,2
Choke,CHUCK PALAHNIUK,2002,Anchor,0,2
Four Past Midnight,Stephen King,2001,Signet Book,0,3
On the Street Where You Live : A Novel,Mary Higgins Clark,2001,Simon &amp; Schuster,0,0
Where or When  : A Novel,Anita Shreve,1999,Harvest Books,0,2
The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,0,2
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books,0,4
City of Bones,Michael Connelly,2003,Warner Books,0,2
Range of Motion,Elizabeth Berg,1996,Jove Books,0,2
BAG OF BONES : A NOVEL,Stephen King,1998,Scribner,0,3
The Human Stain : A Novel,PHILIP ROTH,2001,Vintage,0,2
Flowers In The Attic (Dollanganger),V.C. Andrews,1990,Pocket,0,0
Pride and Prejudice (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,0,2
Looking Back,Belva Plain,2002,Dell Publishing Company,0,2
American Psycho (Vintage Contemporaries),Bret Easton Ellis,2000,Vintage Books USA,0,2
House of Leaves,Mark Z. Danielewski,2000,Pantheon Books,10,2
Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter,9,2
Alias Grace : A Novel,Margaret Atwood,1997,Anchor,8,2
Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,Berkley Publishing Group,10,1
Pope Joan (Ballantine Reader's Circle),Donna Woolfolk Cross,1996,Ballantine Books,0,4
Behind the Scenes at the Museum : A Novel,Kate Atkinson,1999,Picador,0,2
Without Remorse,Tom Clancy,2004,Berkley Publishing Group,0,1
Passage,Connie Willis,2002,Bantam Books,9,2
Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,1997,Berkley Publishing Group,0,1
Wild Swans: Three Daughters of China,JUNG CHANG,1992,Anchor,8,2
Galapagos,"Kurt, Jr. Vonnegut",1986,Dell,9,2
Move to Strike,Perri O'Shaughnessy,2001,Island,9,2
The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers,0,2
In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage,0,2
"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial,4,2
The Terminal Man,Michael Crichton,1988,Ballantine Books,6,4
Kushiel's Dart,Jacqueline Carey,2002,Tor Books,0,2
MÃ?Â¶rder ohne Gesicht.,Henning Mankell,1999,Dtv,8,2
Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper,9,2
"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,8,2
Mystic River,Dennis Lehane,2002,HarperTorch,6,2
Restaurant At the End of the Universe,Douglas Adams,0,Pan Books Ltd,7,2
Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc,0,2
Writ of Execution,Perri O'Shaughnessy,2002,Dell Publishing Company,9,2
Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books,6,4
The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books,0,0
Night over Water,Ken Follett,1992,Signet Book,0,3
The Cat Who Came to Breakfast,Lilian Jackson Braun,1995,Jove Books,0,2
I Know This Much Is True,Wally Lamb,1999,Regan Books,9,2
Conversations with God : An Uncommon Dialogue (Book 1),Neale Donald Walsch,1996,Putnam Publishing Group,0,2
The Midnight Club,James Patterson,1999,Warner Vision,8,2
Dr. Death: A Novel,Jonathan Kellerman,2000,Random House Trade,0,2
The Education of Little Tree (A Zia Book),Forrest Carter,1986,University of New Mexico Press,9,2
Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins,0,2
